연번,경찰서,구분,살인,강도, 성범죄,절도,폭력,합계,cctv개수
1,중부,경찰서,2,1,41,657,701,1402,82
2,동래,경찰서,1,0,104,1320,1250,2675,1334
3,영도,경찰서,5,1,39,466,568,1079,769
4,동부,경찰서,4,5,52,545,747,1353,566
5,부산진,경찰서,5,6,347,2577,2681,5616,1723
6,서부,경찰서,3,2,30,720,498,1253,782
7,남부,경찰서,3,2,197,1137,1690,3029,1807
8,해운대,경찰서,3,4,137,1561,1423,3128,1786
9,사상,경찰서,6,3,73,950,1031,2063,876
10,금정,경찰서,4,0,80,880,832,1796,1264
11,사하,경찰서,2,0,102,941,1278,2323,1496
12,연제,경찰서,3,2,98,1163,1402,2668,1062
13,강서,경찰서,2,0,56,477,618,1153,1954
14,북부,경찰서,6,0,93,1012,959,2070,858
15,기장,경찰서,3,1,55,640,773,1472,802
